ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closestsecondary,secondary_school_ranking
ID171206215,9/723 Orrong Rd,TOORAK,655000.0,u,2017-08-04,2,1.0,1.0,1816.0,59.0,-37.8389,145.0141,19947,1227.3268934195808,16.0,1,647.0,2861.3333333333335,222.66666666666666,St Catherine's School,633.8158476669919,117,St Catherine's School,633.8158476669919,35
ID320008346,53/69 Palmer St,RICHMOND,815000.0,u,2016-07-11,2,2.0,2.0,0.0,6.0,-37.8187,145.0079,19906,986.7595870664346,11.947368421052632,0,824.6666666666666,1890.3333333333333,159.33333333333334,Trinity Catholic School,318.4430295414821,not ranked,Richmond High School,470.6368783173284,not ranked
ID143277771,46 Wilson St,HIGHETT,1150000.0,h,2017-07-29,2,1.0,2.0,591.0,69.0,-37.94763,145.02716999999996,19872,1293.572233234453,40.142857142857146,0,2837.0,9343.666666666666,1212.6666666666667,St Agnes' School,442.9533741835925,not ranked,Sandringham College,1073.8757798741397,304
ID983582318,2/575 Warrigal Rd,BENTLEIGH EAST,850000.0,t,2017-05-20,3,2.0,2.0,321.0,69.0,-37.9316,145.0806,19916,2983.6660110555545,31.545454545454547,0,959.0,4476.666666666667,324.0,East Bentleigh Primary School,1033.1898395310907,not ranked,St James' College,991.6450580661669,not ranked
ID188550830,301/115 Nott St,PORT MELBOURNE,801000.0,h,2017-08-04,2,2.0,1.0,0.0,7.0,-37.84,144.939,22180,2687.56197144073,0.0,0,705.3333333333334,5479.666666666667,335.0,Port Melbourne Primary School,692.2366789278205,325,Albert Park College,908.3070811607209,131
ID474463985,1 Hodgson Tce,RICHMOND,1495000.0,h,2016-11-27,3,2.0,1.0,159.0,19.0,-37.8195,144.9974,19978,730.0191820392895,9.125,0,824.6666666666666,1890.3333333333333,159.33333333333334,Richmond West Primary School,670.0690664838593,452,Richmond High School,529.1981800858281,not ranked
ID498050298,174 Kilby Rd,KEW EAST,2175000.0,h,2016-05-22,4,2.0,2.0,691.0,79.0,-37.793,145.0592,19932,2712.0777098002595,25.928571428571427,0,271.6666666666667,771.6666666666666,74.0,St Anne's School,867.1858496843367,293,Kew High School,462.7106118361534,124
ID166963151,4 Wattle Gr,RESERVOIR,860000.0,h,2017-05-27,3,1.0,2.0,627.0,69.0,-37.72216,144.99381,20011,1051.49407017063,31.11111111111111,1,885.0,1901.0,227.66666666666666,Reservoir West Primary School,315.32072300753407,not ranked,Preston High School,2434.740413124047,not ranked
ID862987926,15 Riverview Tce,BULLEEN,980000.0,h,2016-06-18,2,1.0,1.0,551.0,34.0,-37.7739,145.0962,19935,3643.588273311706,29.833333333333332,0,958.6666666666666,5673.0,628.0,St Clement of Rome School,898.301613779897,196,Marcellin College,1194.085148499196,169
ID195065010,13 Wood St,AVONDALE HEIGHTS,945000.0,h,2017-03-06,5,2.0,1.0,570.0,69.0,-37.76848,144.86293999999995,20022,3425.3272682982547,22.0,0,1672.6666666666667,10063.666666666666,646.3333333333334,Avondale Primary School,286.8538253854693,326,Braybrook College,1738.2009847128804,139
ID387465848,19 Anselm Gr,GLENROY,815000.0,h,2017-03-09,3,1.0,1.0,697.0,89.0,-37.70239,144.91289,20032,450.04731062539975,36.0,0,1841.6666666666667,9184.666666666666,533.3333333333334,Glenroy West Primary School,495.5524059043045,not ranked,Glenroy Secondary College,1096.7629834047762,511
ID332783973,3 Leopold St,PRESTON,886000.0,h,2016-09-17,2,1.0,2.0,467.0,69.0,-37.7345,144.9977,20012,526.9056327984395,28.11111111111111,0,659.0,5219.333333333333,338.3333333333333,Preston West Primary School,371.85630707531,52,Preston High School,1100.7524395843652,not ranked
ID491900569,14 Columbia St,OAKLEIGH SOUTH,802000.0,h,2016-08-10,3,1.0,2.0,533.0,59.0,-37.9348,145.0836,19916,3118.2987463388376,31.545454545454547,0,136.33333333333334,302.6666666666667,42.0,East Bentleigh Primary School,1245.0430108056248,not ranked,St James' College,1418.9601715776066,not ranked
ID703371250,42 Gisborne St,BULLEEN,1140000.0,h,2016-09-24,4,2.0,3.0,554.0,21.0,-37.7624,145.0961,19935,3172.58678213106,29.833333333333332,0,958.6666666666666,5673.0,628.0,St Clement of Rome School,744.7040833023734,196,Marcellin College,1815.3074563788218,169
ID329887743,5/755 Malvern Rd,TOORAK,2400000.0,t,2016-10-09,3,3.0,2.0,425.0,21.0,-37.8492,145.0163,19946,273.63594945221985,18.0,0,584.3333333333334,2731.6666666666665,211.66666666666666,Loreto Mandeville Hall,166.98151322462593,27,Loreto Mandeville Hall,166.98151322462593,15
ID529349883,16/3 Tahara Rd,TOORAK,546000.0,u,2016-03-12,1,1.0,1.0,1677.0,19.0,-37.8384,145.0178,19946,1419.2566897576214,18.0,1,584.3333333333334,2731.6666666666665,211.66666666666666,St Catherine's School,305.18666669723365,117,St Catherine's School,305.18666669723365,35
